date,Traffic_Volume
8/4/2022,38033
8/5/2022,37292
8/6/2022,37295
8/7/2022,37609
8/8/2022,36906
8/9/2022,38610
8/10/2022,37880
8/11/2022,38275
8/12/2022,37843
8/13/2022,38054
8/14/2022,37523
8/15/2022,38829
8/16/2022,36989
8/17/2022,38509
8/18/2022,37689
8/19/2022,37636
8/20/2022,37602
8/21/2022,37867
8/22/2022,37752
8/23/2022,37756
8/24/2022,37326
8/25/2022,37238
8/26/2022,37863
8/27/2022,38277
8/28/2022,37002
8/29/2022,38384
8/30/2022,37268
8/31/2022,37185
9/1/2022,38874
9/2/2022,38504
9/3/2022,37665
9/4/2022,37907
9/5/2022,37280
9/6/2022,37155
9/7/2022,38459
9/8/2022,36986
9/9/2022,37852
9/10/2022,37199
9/11/2022,37566
9/12/2022,36928
9/13/2022,38464
9/14/2022,37852
9/15/2022,38240
9/16/2022,36985
9/17/2022,38881
9/18/2022,37681
9/19/2022,37223
9/20/2022,37929
9/21/2022,38716
9/22/2022,37355
9/23/2022,38368
9/24/2022,38731
9/25/2022,38781
9/26/2022,38754
9/27/2022,37655
9/28/2022,38869
9/29/2022,37578
9/30/2022,38685
10/1/2022,37787
10/2/2022,38492
10/3/2022,37806
10/4/2022,38479
10/5/2022,38874
10/6/2022,38909
10/7/2022,38610
10/8/2022,37739
10/9/2022,37722
10/10/2022,37363
10/11/2022,37551
10/12/2022,37324
10/13/2022,38121
10/14/2022,38251
10/15/2022,36963
10/16/2022,37638
10/17/2022,37864
10/18/2022,37515
10/19/2022,38563
10/20/2022,37249
10/21/2022,38282
10/22/2022,37585
10/23/2022,37198
10/24/2022,38596
10/25/2022,38627
10/26/2022,37866
10/27/2022,38551
10/28/2022,38152
10/29/2022,37228
10/30/2022,37003
10/31/2022,38584
11/1/2022,39024
11/2/2022,39021
11/3/2022,38356
11/4/2022,38578
11/5/2022,38089
11/6/2022,38770
11/7/2022,37128
11/8/2022,38527
11/9/2022,37873
11/10/2022,38659
11/11/2022,37793
11/12/2022,36933
11/13/2022,37182
11/14/2022,37736
11/15/2022,37141
11/16/2022,37039
11/17/2022,37758
11/18/2022,37918
11/19/2022,38839
11/20/2022,37046
11/21/2022,38532
11/22/2022,37218
11/23/2022,38040
11/24/2022,38045
11/25/2022,37570
11/26/2022,37085
11/27/2022,37823
11/28/2022,37170
11/29/2022,38620
11/30/2022,38475
12/1/2022,37072
12/2/2022,37141
12/3/2022,38567
12/4/2022,37691
12/5/2022,38319
12/6/2022,37739
12/7/2022,38068
12/8/2022,38707
12/9/2022,37506
12/10/2022,38279
12/11/2022,38229
12/12/2022,37183
12/13/2022,37620
12/14/2022,38615
12/15/2022,38303
12/16/2022,37232
12/17/2022,37518
12/18/2022,38767
12/19/2022,37657
12/20/2022,37857
12/21/2022,37805
12/22/2022,37443
12/23/2022,38764
12/24/2022,38529
12/25/2022,37475
12/26/2022,38128
12/27/2022,37152
12/28/2022,36989
12/29/2022,38831
12/30/2022,37022
12/31/2022,37747
